wrong,right,corpus_count,right_count,observed_count,tier,evidence,category,ticker,market,auditor_models,approved_at,word_boundary,apply_scope
펀더멘탈,펀더멘털,981,9,9,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
하이니스,하이닉스,833,9427,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
FMC,FOMC,751,240,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
SK닉스,SK하이닉스,735,3241,3,B,goldset-alignment,stock,000660,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
변합기,변압기,611,5,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
수납매,순환매,568,623,2,A,human,term,,,,2026-08-12T04:41:49.087+00:00,True,all
엔트로픽,앤트로픽,550,74,4,A,human,other,,,,2026-08-12T04:38:44.255+00:00,True,all
밸루에이션,밸류에이션,547,292,6,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
M비디아,엔비디아,537,4787,0,B,auditor-consensus,stock,NVDA,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
업항,업황,535,26,3,A,human,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T04:39:11.34+00:00,True,all
장기체,장기채,520,80,2,A,human,term,,,,2026-08-12T04:40:52.208+00:00,True,all
휴먼노이드,휴머노이드,364,100,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
SMP,에스앤피,363,2,1,B,goldset-alignment,stock,^GSPC,NYSE,,2026-08-14T02:45:29.364191+00:00,True,unique
미국체,미국채,235,162,2,A,human,term,,,,2026-08-12T04:42:18.012+00:00,True,all
해치 펀드,헤지 펀드,203,2,2,A,human,term,,,,2026-08-12T11:33:50.753+00:00,True,all
SKS,SK하이닉스,199,3241,1,B,goldset-alignment,stock,000660,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
엔트로피,앤트로픽,144,74,2,A,human,other,,,,2026-08-12T04:40:37.476+00:00,True,all
하인스,하이닉스,142,9427,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
SK하닉스,SK하이닉스,141,3241,2,B,goldset-alignment,stock,000660,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
실험률,실업률,136,19,2,A,human,term,,,,2026-08-12T04:40:30.93+00:00,True,all
삼성원자,삼성전자,134,11314,1,B,goldset-alignment,stock,005930,KOSPI,,2026-08-14T02:45:29.364191+00:00,True,unique
영업익,영업이익,124,1765,1,B,goldset-alignment,term,,,,2026-08-14T02:45:29.364191+00:00,True,unique
삼성자가,삼성전자가,114,1736,0,A,human,stock,,,,2026-09-02T07:17:14.163984+00:00,True,all
스페이스엑스,스페이스X,106,472,4,B,goldset-alignment,stock,SPACEX,UNKNOWN,,2026-08-14T02:45:29.364191+00:00,True,unique
하이네스,하이닉스,91,9427,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
보스턴 다이네믹스,보스턴 다이내믹스,78,0,2,A,human,other,,,,2026-08-12T11:32:15.561+00:00,True,all
하이퍼스러들,하이퍼스케일러들,74,352,2,A,human,term,,,,2026-08-12T04:41:12.395+00:00,True,all
시가 총의,시가총액,67,841,0,B,auditor-consensus,term,,,claude-code/opus;codex/gpt-5.6-sol,2026-08-12T03:44:01.304425+00:00,True,unique
엠비디아,엔비디아,67,4787,0,B,auditor-consensus,stock,NVDA,NASDAQ,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
가운전선,가온전선,62,2,0,B,auditor-consensus,stock,000500,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
SK 하니스,SK하이닉스,61,3241,0,B,auditor-consensus,stock,000660,KOSPI,claude-code/opus;codex/gpt-5.6-sol,2026-08-27T21:47:34.170238+00:00,True,unique
